trimestre,internetfijo,internetmovil,total
01/01/2010 12:00:00 AM,2309688,965093,3274781
04/01/2010 12:00:00 AM,2651363,1708633,4359996
03/01/2010 12:00:00 AM,2538480,1481678,4020158
02/01/2010 12:00:00 AM,2426942,1128096,3555038
03/01/2012 12:00:00 AM,3746961,3290281,7037242
01/01/2012 12:00:00 AM,3481185,2964612,6445797
02/01/2011 12:00:00 AM,3024197,2479478,5503675
04/01/2012 12:00:00 AM,3898754,3209059,7107813
04/01/2011 12:00:00 AM,3331168,2788733,6119901
01/01/2013 12:00:00 AM,4114364,3417547,7531911
01/01/2011 12:00:00 AM,2834387,2197646,5032033
03/01/2011 12:00:00 AM,3198894,2686056,5884950
02/01/2012 12:00:00 AM,3567233,3070132,6637365
02/01/2013 12:00:00 AM,4296558,3756174,8052732
